"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi ülke merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Çalıştığınız şirketteki unvanınız nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Senede kaç kez zam alıyorsunuz?","Ara zam / iyileştirme oranınız hangi aralıkta?","Yemek kartınız varsa günlük güncel miktar nedir?","Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","06 Ankara",Hybrid,151-300,"Team Lead",Senior,"9-12 Yıl","DevOps araçları
Flutter
Javascript / Typescript ve bağlı framework'ler
Kotlin","Türk Lirası",Net,2,%21-%35,"250-300 TL","105.103 TL - 127.552 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","06 Ankara",Hybrid,21-50,"Software Engineer",Senior,"5-7 Yıl","C# / .NET Framework","Türk Lirası",Net,2,%36-%50,"180-210 TL","67.203 TL - 82.652 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Remote,5.000-10.000,"Backend Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,1,Almadım,"250-300 TL","44.704 TL - 54.951 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri","Yurt dışı","Çin ","34 İstanbul",Ofiste,"10.000 ve üzeri","Data Scientist",Junior,"0-1 Yıl","Python
SQL","Türk Lirası",Brüt,2,%36-%50,"150 TL altı","26.803 TL - 29.801 TL"
"Şub 5, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","35 İzmir",Remote,1-10,"Backend Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler
Linux
NoSQL
Python","Türk Lirası",Net,1,%51-%70,,"44.704 TL - 54.951 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,21-50,"Software Development Manager",Staff,"12 Yıl ve üzeri","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Flutter
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%36-%50,,"150.003 TL - 195.002 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri
Netflix, Spotify vs","Yurt dışı","Türkiye ","35 İzmir",Hybrid,51-150,"Team Lead",Mid,"3-5 Yıl","No-code / Low-code Araçları
SQL","Türk Lirası",Net,2,%21-%35,"210-250 TL","54.952 TL - 67.202 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,301-600,"Frontend Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,1,%36-%50,150-180TL,"29.802 TL - 37.252 TL"
"Şub 5, 2024",Erkek,Hiçbiri,"Yurt dışı","Amerika Birleşik Devletleri ",,Remote,1.000-5.000,"Q/A - Test Automation Engineer",Mid,"3-5 Yıl","Java ve bağlı framework'ler",Euro,Brüt,1,%5-%10,,"82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"Çin ","34 İstanbul",Ofiste,1.000-5.000,"Research Engineer",Mid,"1-3 Yıl","Linux
Python","Türk Lirası",Brüt,2,%21-%35,"150 TL altı","37.253 TL - 44.703 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri",Türkiye,,"34 İstanbul",Remote,,"Backend Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
SQL","Türk Lirası",Net,2,,"210-250 TL","29.802 TL - 37.252 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Hayat sigortası
İşçi tazminatı",Türkiye,"Türkiye ","06 Ankara",Remote,601-1.000,"iOS Developer",Mid,"1-3 Yıl",Swift,"Türk Lirası",Net,"4 veya üzeri",%36-%50,"300 TL ve üzeri","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Hybrid,1.000-5.000,"Frontend Developer / Engineer",Senior,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,2,%11-%20,"210-250 TL","37.253 TL - 44.703 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Hybrid,151-300,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Golang
NoSQL
SQL","Türk Lirası",Brüt,2,%36-%50,150-180TL,"82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","06 Ankara",Hybrid,1-10,"Backend Developer / Engineer",Mid,"1-3 Yıl","C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
SQL","Türk Lirası",Net,1,%36-%50,,"54.952 TL - 67.202 TL"
"Şub 5, 2024",Erkek,"Geliştirme araçları (laptop, telefon vs)
Hayat sigortası
Tıbbi izin","Yurt dışı","İngiltere ",,Remote,1.000-5.000,"Backend Developer / Engineer",Mid,"5-7 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
SQL",Sterlin,Net,1,Almadım,,"54.952 TL - 67.202 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Employee stock options",Türkiye,"Amerika Birleşik Devletleri ","34 İstanbul",Remote,51-150,"Backend Developer / Engineer",Senior,"5-7 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
SQL",Dolar,Net,1,Almadım,"250-300 TL","67.203 TL - 82.652 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"Türkiye ","35 İzmir",Ofiste,21-50,"Business Analyst","Yeni mezun","0-1 Yıl","ChatGPT
Microsoft Office Araçları","Türk Lirası",Net,1,Almadım,"150 TL altı","22.452 TL - 26.802 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Hybrid,51-150,"Fullstack Developer / Engineer","Yeni mezun","0-1 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%51-%70,"180-210 TL","29.802 TL - 37.252 TL"
"Şub 5, 2024",Erkek,Hiçbiri,Türkiye,"Türkiye ","41 Kocaeli",Remote,1-10,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
ChatGPT
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL","Türk Lirası",Net,1,%21-%35,"150 TL altı","22.452 TL - 26.802 TL"
"Şub 5, 2024",Kadın,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","06 Ankara",Hybrid,1.000-5.000,"Integration Developer","Yeni mezun","0-1 Yıl",,"Türk Lirası",Net,2,%21-%35,"180-210 TL","22.452 TL - 26.802 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","67 Zonguldak",Remote,11-20,"SAP Consultant",Junior,"1-3 Yıl","ABAP
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%21-%35,150-180TL,"22.452 TL - 26.802 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
Netflix, Spotify vs
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Remote,301-600,"UI/UX Designer",Senior,"7-9 Yıl","Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Dolar,Net,1,Almadım,"180-210 TL","54.952 TL - 67.202 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Remote,151-300,DevOps,Junior,"0-1 Yıl","C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Kubernetes
Linux","Türk Lirası",Net,2,%51-%70,"250-300 TL","17.002 TL - 22.451 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Udemy vb kurs üyelikleri
Emeklilik planlama hizmetleri",Türkiye,,,Remote,1.000-5.000,"Backend Developer / Engineer",Mid,"3-5 Yıl","Java ve bağlı framework'ler","Türk Lirası",Brüt,2,%36-%50,"250-300 TL","54.952 TL - 67.202 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,1.000-5.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
No-code / Low-code Araçları
SQL","Türk Lirası",Net,2,%36-%50,"210-250 TL","29.802 TL - 37.252 TL"
"Şub 5, 2024",Erkek,"Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)
Udemy vb kurs üyelikleri
Tıbbi izin","Yurt dışı","Amerika Birleşik Devletleri ",,Hybrid,21-50,"AI - ML Developer / Engineer","Yeni mezun","0-1 Yıl","C, C++
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python
SQL",Dolar,Brüt,1,Almadım,"300 TL ve üzeri","195.003 TL - 239.002 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Sertifika sınav ücretleri",Türkiye,"Türkiye ","06 Ankara",Ofiste,21-50,"Tech Lead",Staff,"12 Yıl ve üzeri","DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Linux
Python","Türk Lirası",Net,2,Almadım,"210-250 TL","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,"Türkiye ","34 İstanbul",Remote,301-600,"Frontend Developer / Engineer",Senior,"5-7 Yıl","Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları","Türk Lirası",Net,2,"%71 ve üzeri","300 TL ve üzeri","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Geliştirme araçları (laptop, telefon vs)
Şirket telefonu
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası
Emeklilik planlama hizmetleri
Tıbbi izin",Türkiye,"Türkiye ","34 İstanbul",Hybrid,1.000-5.000,"Backend Developer / Engineer",Mid,"3-5 Yıl","C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%11-%20,"250-300 TL","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Geliştirme araçları (laptop, telefon vs)
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Udemy vb kurs üyelikleri
Sertifika sınav ücretleri",Türkiye,"Türkiye ","06 Ankara",Hybrid,1.000-5.000,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes","Türk Lirası",Net,2,%36-%50,"210-250 TL","82.653 TL - 105.102 TL"
"Şub 5, 2024",Erkek,"Yemek kartı
Yol / yakıt yardımı
Özel günlerde hediye çeki
Geliştirme araçları (laptop, telefon vs)
Tamamlayıcı sağlık sigortası",Türkiye,"Türkiye ","34 İstanbul",Remote,301-600,"Backend Developer / Engineer",Mid,"5-7 Yıl","Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
SQL","Türk Lirası",Net,2,%21-%35,"210-250 TL","67.203 TL - 82.652 TL"
